Index,AI0(V)
398,-0.12446
399,-0.12244
400,-0.12875
401,-0.12654
402,-0.1237
403,-0.12295
404,-0.12496
405,-0.11973
406,-0.13039
407,-0.12395
408,-0.12875
409,-0.12004
410,-0.12263
411,-0.12705
412,-0.12509
413,-0.12604
414,-0.1266
415,-0.12749
416,-0.12673
417,-0.12812
418,-0.12736
419,-0.12276
420,-0.12307
421,-0.12017
422,-0.12187
423,-0.12181
424,-0.12787
425,-0.12749
426,-0.12408
427,-0.12446
428,-0.12269
429,-0.13007
430,-0.12686
431,-0.12156
432,-0.12837
433,-0.12604
434,-0.12642
435,-0.12238
436,-0.12238
437,-0.12957
438,-0.1249
439,-0.12831
440,-0.12105
441,-0.12705
442,-0.12749
443,-0.12717
444,-0.12629
445,-0.12004
446,-0.12471
447,-0.129
448,-0.12673
449,-0.12673
450,-0.12522
451,-0.12541
452,-0.12717
453,-0.12433
454,-0.12213
455,-0.12768
456,-0.12515
457,-0.12616
458,-0.1256
459,-0.12547
460,-0.12667
461,-0.12951
462,-0.12667
463,-0.12383
464,-0.12768
465,-0.12345
466,-0.12686
467,-0.12522
468,-0.12402
469,-0.1256
470,-0.12036
471,-0.12705
472,-0.12421
473,-0.12572
474,-0.12818
475,-0.12478
476,-0.12522
477,-0.12907
478,-0.12818
479,-0.12925
480,-0.1237
481,-0.12585
482,-0.12976
483,-0.12231
484,-0.12377
485,-0.12679
486,-0.12522
487,-0.12446
488,-0.12591
489,-0.12143
490,-0.1261
491,-0.12332
492,-0.12881
493,-0.12131
494,-0.12313
495,-0.12023
496,-0.1249
497,-0.13007
498,-0.12547
499,-0.12509
500,-0.12522
501,-0.12824
502,-0.13007
503,-0.13077
504,-0.12414
505,-0.13058
506,-0.12402
507,-0.1266
508,-0.12282
509,-0.12642
510,-0.12307
511,-0.12894
512,-0.12395
513,-0.12269
514,-0.12572
515,-0.12812
516,-0.12402
517,-0.12383
518,-0.12755
519,-0.1261
520,-0.12616
521,-0.12635
522,-0.12888
523,-0.12408
524,-0.12446
525,-0.12578
526,-0.1249
527,-0.12667
528,-0.12522
529,-0.11935
530,-0.12433
531,-0.12515
532,-0.12086
533,-0.12585
534,-0.13216
