timeStamp/s,positon/mm,q,velocity(mm/s),coil,E/uV,accelerator(mm/s^2),gyroscope(deg/s)
1655298229.2630155,"(1.200102089089049, 99.99279851557193, 300)","(0.9999819961268601, 0, 0, 0.006000618479819116)","(4.999639925778597, -0.060005104454452445, 0)",8,8.938370537526621,"(-0.0030002552227226223, -4.999639925778597, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.3130155,"(1.2501037899208436, 99.99218589727113, 300)","(0.9999804645523609, 0, 0, 0.006250641058675331)","(4.999609294863556, -0.06250518949604218, 0)",9,15.412355068599167,"(-0.003125259474802109, -4.999609294863556, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.3630154,"(1.3001051781585118, 99.9915482754704, 300)","(0.9999788704654473, 0, 0, 0.006500663246781247)","(4.999577413773519, -0.06500525890792559, 0)",10,15.523587142152357,"(-0.0032502629453962793, -4.999577413773519, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.4130154,"(1.350106241298979, 99.99088565032918, 300)","(0.999977213866219, 0, 0, 0.006750685028507068)","(4.999544282516458, -0.06750531206494896, 0)",11,9.11749177259231,"(-0.0033752656032474478, -4.999544282516458, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.4630156,"(1.4001069668392532, 99.99019802201317, 300)","(0.9999754947547794, 0, 0, 0.007000706388223026)","(4.999509901100659, -0.07000534834196266, 0)",12,3.284242831775958,"(-0.003500267417098133, -4.999509901100659, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.5130155,"(1.4501073422764255, 99.98948539069433, 300)","(0.9999737131312361, 0, 0, 0.007250727310299376)","(4.9994742695347165, -0.07250536711382127, 0)",13,5.4217775420224985,"(-0.003625268355691064, -4.9994742695347165, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.5630155,"(1.5001073551076753, 99.98874775655085, 300)","(0.9999718689957005, 0, 0, 0.007500747779106401)","(4.999437387827542, -0.07500536775538377, 0)",14,5.461661683492141,"(-0.0037502683877691885, -4.999437387827542, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.6130154,"(1.5501069928302724, 99.98798511976716, 300)","(0.9999699623482876, 0, 0, 0.0077507677790144116)","(4.999399255988358, -0.07750534964151362, 0)",15,3.35721672002569,"(-0.003875267482075681, -4.999399255988358, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.6630154,"(1.6001062429415802, 99.98719748053398, 300)","(0.999967993189117, 0, 0, 0.008000787294393748)","(4.999359874026698, -0.08000531214707901, 0)",0,15.25712934088765,"(-0.00400026560735395, -4.999359874026698, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.7130156,"(1.65010509293906, 99.98638483904824, 300)","(0.9999659615183115, 0, 0, 0.008250806309614785)","(4.999319241952413, -0.08250525464695299, 0)",1,28.00146262997968,"(-0.00412526273234765, -4.999319241952413, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.7630155,"(1.7001035303202714, 99.98554719551318, 300)","(0.9999638673359982, 0, 0, 0.00850082480904792)","(4.999277359775659, -0.08500517651601357, 0)",2,28.303325593063487,"(-0.0042502588258006785, -4.999277359775659, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.8130155,"(1.750101542582879, 99.98468455013823, 300)","(0.9999617106423081, 0, 0, 0.008750842777063592)","(4.9992342275069115, -0.08750507712914396, 0)",3,15.695310322890508,"(-0.004375253856457198, -4.9992342275069115, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.8630154,"(1.8000991172246523, 99.9837969031391, 300)","(0.999959491437376, 0, 0, 0.009000860198032264)","(4.999189845156955, -0.09000495586123261, 0)",4,15.232365016128064,"(-0.004500247793061631, -4.999189845156955, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.9130154,"(1.8500962417434719, 99.98288425473775, 300)","(0.9999572097213404, 0, 0, 0.009250877056324444)","(4.999144212736888, -0.0925048120871736, 0)",5,27.98567979623826,"(-0.0046252406043586795, -4.999144212736888, 9800.0)","(0, 0, 125.66370614359172)"
1655298229.9630156,"(1.9000929036373286, 99.9819466051624, 300)","(0.9999548654943442, 0, 0, 0.009500893336310667)","(4.99909733025812, -0.09500464518186644, 0)",6,28.323784851368842,"(-0.0047502322590933215, -4.99909733025812, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.0130155,"(1.9500890904043309, 99.98098395464753, 300)","(0.9999524587565339, 0, 0, 0.009750909022361502)","(4.9990491977323765, -0.09750445452021654, 0)",7,15.723153257500813,"(-0.004875222726010827, -4.9990491977323765, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.0630155,"(2.000084789542705, 99.97999630343382, 300)","(0.9999499895080599, 0, 0, 0.010000924098847565)","(4.998999815171691, -0.10000423947713526, 0)",8,8.883305551766767,"(-0.005000211973856763, -4.998999815171691, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.1130154,"(2.0500799885507996, 99.97898365176825, 300)","(0.9999474577490766, 0, 0, 0.010250938550139501)","(4.9989491825884125, -0.10250399942753999, 0)",9,15.378237854091154,"(-0.005125199971376999, -4.9989491825884125, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.1630154,"(2.100074674927089, 99.97794599990405, 300)","(0.9999448634797422, 0, 0, 0.010500952360608001)","(4.998897299995202, -0.10500373374635444, 0)",10,15.55926373045175,"(-0.005250186687317722, -4.998897299995202, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.2130156,"(2.1500688361701736, 99.97688334810067, 300)","(0.9999422067002189, 0, 0, 0.010750965514623793)","(4.998844167405034, -0.1075034418085087, 0)",11,9.174826969804096,"(-0.005375172090425435, -4.998844167405034, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.2630155,"(2.2000624597787874, 99.97579569662385, 300)","(0.9999394874106728, 0, 0, 0.01100097799655764)","(4.998789784831192, -0.11000312298893937, 0)",12,3.265082376246218,"(-0.005500156149446969, -4.998789784831192, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.3130155,"(2.250055533251798, 99.97468304574555, 300)","(0.999936705611274, 0, 0, 0.011250989790780359)","(4.998734152287278, -0.1125027766625899, 0)",13,5.411620019690191,"(-0.005625138833129495, -4.998734152287278, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.3630154,"(2.3000480440882094, 99.973545395744, 300)","(0.9999338613021963, 0, 0, 0.011501000881662799)","(4.9986772697872, -0.11500240220441048, 0)",14,5.473140600668521,"(-0.005750120110220524, -4.9986772697872, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.4130154,"(2.3500399797871685, 99.97238274690366, 300)","(0.9999309544836175, 0, 0, 0.011751011253575862)","(4.998619137345183, -0.11750199898935844, 0)",15,3.377645007300906,"(-0.005875099949467922, -4.998619137345183, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.4630156,"(2.4000313278479646, 99.97119509951528, 300)","(0.9999279851557193, 0, 0, 0.01200102089089049)","(4.998559754975764, -0.12000156639239823, 0)",0,15.152539070816562,"(-0.006000078319619911, -4.998559754975764, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.5130155,"(2.450022075770034, 99.96998245387582, 300)","(0.9999249533186874, 0, 0, 0.012251029777977668)","(4.998499122693791, -0.1225011037885017, 0)",1,27.925531338254324,"(-0.006125055189425085, -4.998499122693791, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.5630155,"(2.5000122110529635, 99.96874481028851, 300)","(0.9999218589727112, 0, 0, 0.012501037899208436)","(4.998437240514425, -0.12500061055264816, 0)",2,28.3714596844674,"(-0.006250030527632408, -4.998437240514425, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.6130154,"(2.5500017211964923, 99.96748216906283, 300)","(0.9999187021179843, 0, 0, 0.012751045238953875)","(4.998374108453142, -0.1275000860598246, 0)",3,15.799901023304578,"(-0.00637500430299123, -4.998374108453142, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.6630154,"(2.599990593700517, 99.96619453051451, 300)","(0.9999154827547039, 0, 0, 0.013001051781585117)","(4.998309726525726, -0.12999952968502587, 0)",4,15.129271270850701,"(-0.006499976484251293, -4.998309726525726, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.7130156,"(2.6499788160650932, 99.96488189496553, 300)","(0.9999122008830713, 0, 0, 0.013251057511473345)","(4.9982440947482765, -0.13249894080325467, 0)",5,27.912588496085963,"(-0.006624947040162733, -4.9982440947482765, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.7630155,"(2.699966375790439, 99.96354426274411, 300)","(0.9999088565032918, 0, 0, 0.013501062412989791)","(4.998177213137206, -0.13499831878952195, 0)",6,28.394893321343048,"(-0.006749915939476098, -4.998177213137206, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.8130155,"(2.7499532603769383, 99.96218163418474, 300)","(0.9999054496155743, 0, 0, 0.013751066470505743)","(4.998109081709237, -0.13749766301884692, 0)",7,15.829429768858388,"(-0.006874883150942346, -4.998109081709237, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.8630154,"(2.7999394573251433, 99.96079400962816, 300)","(0.9999019802201318, 0, 0, 0.014001069668392532)","(4.998039700481408, -0.13999697286625717, 0)",8,8.828775226440762,"(-0.006999848643312858, -4.998039700481408, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.9130154,"(2.8499249541357794, 99.95938138942134, 300)","(0.9998984483171812, 0, 0, 0.014251071991021555)","(4.9979690694710674, -0.14249624770678895, 0)",9,15.344492197876654,"(-0.007124812385339448, -4.9979690694710674, 9800.0)","(0, 0, 125.66370614359172)"
1655298230.9630156,"(2.899909738309745, 99.95794377391752, 300)","(0.9998948539069433, 0, 0, 0.014501073422764256)","(4.997897188695876, -0.14499548691548725, 0)",10,15.59531349357454,"(-0.007249774345774362, -4.997897188695876, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.0130155,"(2.9498937973481185, 99.95648116347617, 300)","(0.9998911969896429, 0, 0, 0.014751073947992136)","(4.9978240581738085, -0.14749468986740594, 0)",11,9.232711707530681,"(-0.007374734493370297, -4.9978240581738085, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.0630155,"(2.99987711875216, 99.95499355846303, 300)","(0.9998874775655084, 0, 0, 0.015001073551076754)","(4.997749677923152, -0.149993855937608, 0)",12,3.246186271567355,"(-0.0074996927968804, -4.997749677923152, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.1130154,"(3.0498596900233115, 99.9534809592501, 300)","(0.9998836956347725, 0, 0, 0.015251072216389723)","(4.997674047962505, -0.15249298450116558, 0)",13,5.401741680930393,"(-0.007624649225058279, -4.997674047962505, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.1630154,"(3.099841498663206, 99.95194336621557, 300)","(0.9998798511976715, 0, 0, 0.015501069928302724)","(4.997597168310779, -0.1549920749331603, 0)",14,5.484904285846477,"(-0.007749603746658015, -4.997597168310779, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.2130156,"(3.1498225321736637, 99.95038077974397, 300)","(0.9998759442544459, 0, 0, 0.015751066671187485)","(4.997519038987198, -0.15749112660868317, 0)",15,3.3983500418868915,"(-0.007874556330434159, -4.997519038987198, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.2630155,"(3.1998027780567013, 99.94879320022598, 300)","(0.9998719748053397, 0, 0, 0.0160010624294158)","(4.997439660011299, -0.15999013890283506, 0)",0,15.048005307542189,"(-0.007999506945141753, -4.997439660011299, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.3130155,"(3.249782223814531, 99.94718062805863, 300)","(0.9998679428506012, 0, 0, 0.016251057187359533)","(4.997359031402931, -0.16248911119072657, 0)",1,27.84816057337378,"(-0.008124455559536328, -4.997359031402931, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.3630154,"(3.2997608569495664, 99.94554306364513, 300)","(0.9998638483904825, 0, 0, 0.0165010509293906)","(4.997277153182257, -0.1649880428474783, 0)",2,28.438029490457758,"(-0.008249402142373916, -4.997277153182257, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.4130154,"(3.3497386649644216, 99.94388050739495, 300)","(0.9998596914252393, 0, 0, 0.016751043639880975)","(4.9971940253697475, -0.1674869332482211, 0)",3,15.904433166568861,"(-0.008374346662411054, -4.9971940253697475, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.4630156,"(3.399715635361921, 99.94219295972385, 300)","(0.9998554719551318, 0, 0, 0.017001035303202714)","(4.997109647986193, -0.16998578176809606, 0)",4,15.026753489699416,"(-0.008499289088404803, -4.997109647986193, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.5130155,"(3.449691755645095, 99.94048042105378, 300)","(0.9998511899804234, 0, 0, 0.017251025903727922)","(4.997024021052689, -0.17248458778225476, 0)",5,27.839179285111037,"(-0.008624229389112737, -4.997024021052689, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.5630155,"(3.499667013317189, 99.93874289181298, 300)","(0.9998468455013823, 0, 0, 0.01750101542582879)","(4.996937144590649, -0.17498335066585946, 0)",6,28.465622300777547,"(-0.008749167533292973, -4.996937144590649, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.6130154,"(3.5496413958816615, 99.93698037243593, 300)","(0.9998424385182796, 0, 0, 0.01775100385387755)","(4.996849018621797, -0.17748206979408307, 0)",7,15.936247696861507,"(-0.008874103489704153, -4.996849018621797, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.6630154,"(3.5996148908421928, 99.93519286336334, 300)","(0.999837969031391, 0, 0, 0.018000991172246524)","(4.996759643168167, -0.17998074454210963, 0)",8,8.774776651885675,"(-0.008999037227105482, -4.996759643168167, 9800.0)","(0, 0, 125.66370614359172)"
1655298231.7130156,"(3.649587485702683, 99.9333803650422, 300)","(0.9998334370409958, 0, 0, 0.018250977365308098)","(4.99666901825211, -0.18247937428513414, 0)",9,15.311117765168587,"(-0.009123968714256707, -4.99666901825211, 9800.0)","(0, 0, 125.66370614359172)"
